jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
-6.4,-2.9,2.5,13.4,19.8,21.5,25.2,23.5,18.8,11.7,3.8,-3.9,10.6
-4.1,-1.6,6.7,15.2,19.8,23.8,23.9,23.8,20.0,11.6,3.7,-0.5,11.9
-3.7,1.1,5.3,15.2,19.0,22.7,25.0,24.8,20.0,10.9,3.9,-0.3,12.0
-3.4,0.3,7.0,13.4,19.0,23.1,24.7,25.4,19.6,13.8,6.8,-2.8,12.2
-2.9,-1.0,6.4,14.1,21.7,26.2,25.6,23.8,19.9,12.4,4.7,-6.2,12.1
-4.0,1.2,6.0,13.4,18.2,25.0,27.0,25.7,21.4,13.1,3.6,0.5,12.6
-2.3,-0.9,5.0,15.9,20.3,23.5,27.4,24.7,20.1,12.6,7.2,-2.0,12.6
-6.1,-0.1,6.2,13.9,21.2,23.9,26.9,24.1,20.0,12.6,4.4,0.4,12.3
-2.3,1.9,6.9,11.9,18.7,24.4,24.8,25.6,20.4,11.5,4.5,-2.3,12.2
-4.1,-1.0,6.9,10.9,20.2,22.9,25.5,23.2,19.9,12.4,0.8,-3.1,11.2
-3.4,-1.2,2.2,11.8,18.8,25.9,25.9,23.9,18.6,11.5,2.3,-3.6,11.1
-5.0,-5.4,2.8,12.9,19.9,24.8,26.8,24.0,19.2,14.0,3.1,-1.9,11.3
-5.0,-3.3,4.5,12.0,19.4,24.8,27.8,25.5,21.5,10.7,4.0,-3.2,11.6
-4.3,-6.2,6.0,14.4,21.7,24.7,28.0,25.1,20.4,12.9,5.2,-2.5,12.1
-5.1,-1.3,5.7,16.9,20.7,24.5,26.6,24.5,20.0,12.9,3.7,-0.5,12.4
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,-2.4,6.1,15.6,21.6,25.0,27.0,25.2,20.0,13.0,4.5,-1.6,999.9
-5.9,-1.9,1.3,13.3,17.5,24.3,24.7,25.2,22.5,11.2,1.6,-3.5,10.9
-8.1,-4.4,5.4,15.2,18.2,25.7,27.3,24.8,18.6,13.0,4.7,-4.5,11.3
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
